age,duration,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,purchased,id,job,marital,education,default,housing,loan,contact,month,day_of_week,poutcome
42,100,1,999,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0,579,1,0,2,0,1,1,1,6,1,1
44,153,3,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,0,1984,11,1,3,1,0,0,0,3,3,1
53,501,3,999,0,-2.9,92.963,-40.8,1.262,5076.2,1,2218,7,1,7,0,2,0,0,4,3,1
38,100,5,999,0,1.4,94.465,-41.8,4.961,5228.1,0,2442,3,1,6,0,0,0,1,4,1,1
45,265,4,999,0,1.1,93.994,-36.4,4.857,5191.0,0,1517,0,2,5,0,0,0,1,6,3,1
36,148,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0,2167,0,2,3,0,0,2,1,6,0,1
32,151,5,999,0,-1.8,92.89299999999999,-46.2,1.266,5099.1,0,4109,0,1,6,0,2,0,1,6,2,1
24,222,1,17,4,-1.1,94.199,-37.5,0.8859999999999999,4963.6,0,3403,8,2,7,0,2,0,0,9,4,0
35,352,4,999,0,1.1,93.994,-36.4,4.857,5191.0,0,2605,0,2,5,1,2,0,1,6,3,1
37,37,1,999,0,-1.8,92.89299999999999,-46.2,1.344,5099.1,0,870,7,2,2,0,0,0,0,6,3,1
28,489,2,999,0,1.1,93.994,-36.4,4.859,5191.0,0,3610,1,2,2,0,0,0,1,6,0,1
29,245,6,999,1,-1.8,92.89299999999999,-46.2,1.344,5099.1,0,3637,0,2,6,0,0,0,0,6,3,0
55,89,2,999,0,-0.1,93.2,-42.0,4.021,5195.8,0,4071,4,0,6,1,0,0,0,7,0,1
36,91,2,999,0,1.4,93.444,-36.1,4.963,5228.1,0,3872,0,1,3,0,0,0,0,1,1,1
37,191,1,999,0,1.1,93.994,-36.4,4.859,5191.0,0,3047,0,1,3,0,2,0,1,6,4,1
41,854,1,999,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,1,116,2,1,6,0,2,0,0,7,3,1
39,861,6,999,1,-1.8,93.075,-47.1,1.405,5099.1,0,598,9,2,6,0,2,2,0,0,1,0
28,116,1,999,0,-1.8,92.89299999999999,-46.2,1.334,5099.1,0,3096,9,2,5,0,0,0,0,6,4,1
33,396,2,999,0,1.4,93.444,-36.1,4.966,5228.1,1,1002,9,2,5,0,2,0,0,1,3,1
41,278,1,999,0,-1.1,94.601,-49.5,0.9420000000000001,4963.6,0,715,5,2,0,0,2,0,0,8,0,1
34,208,4,999,0,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0,2737,1,1,6,0,0,2,0,6,0,1
46,222,3,999,0,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,0,1214,7,0,3,0,0,0,0,6,1,1
49,813,2,999,0,1.1,93.994,-36.4,4.856,5191.0,0,1558,1,1,2,1,0,0,1,6,3,1
39,93,1,999,0,-1.8,92.89299999999999,-46.2,1.266,5099.1,0,2366,1,2,0,0,0,0,0,6,2,1
71,167,1,999,0,-3.4,92.431,-26.9,0.742,5017.5,0,1469,5,2,6,0,2,0,0,8,3,1
39,175,1,999,0,-1.8,92.89299999999999,-46.2,1.25,5099.1,0,3989,0,1,6,0,2,0,0,6,0,1
30,386,3,999,0,1.4,93.444,-36.1,4.963,5228.1,0,2823,0,2,6,0,2,0,0,1,3,1
54,184,1,999,0,-1.8,92.89299999999999,-46.2,1.334,5099.1,0,1588,1,1,3,0,2,2,0,6,4,1
40,275,1,999,0,-1.8,93.075,-47.1,1.466,5099.1,0,3967,7,2,3,0,0,0,0,0,1,1
35,301,2,999,0,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0,447,7,1,3,0,0,0,0,6,0,1
34,96,1,999,0,-0.1,93.2,-42.0,4.12,5195.8,0,3837,4,1,6,0,2,0,0,7,4,1
42,262,2,999,0,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0,2122,1,1,5,0,2,0,0,6,0,1
30,131,1,999,1,-1.7,94.055,-39.8,0.748,4991.6,0,4112,9,1,6,0,0,2,0,4,0,0
32,79,2,999,0,1.4,93.91799999999999,-42.7,4.962,5228.1,0,3855,0,2,6,0,0,0,0,3,1,1
34,145,1,999,0,1.4,93.444,-36.1,4.965,5228.1,0,1886,0,2,6,0,2,0,0,1,1,1
54,112,1,999,0,1.4,93.91799999999999,-42.7,4.962,5228.1,0,1778,9,1,1,0,0,0,0,3,2,1
32,47,8,999,0,1.1,93.994,-36.4,4.864,5191.0,0,1882,0,2,6,0,0,0,1,6,0,1
39,157,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0,3552,2,1,2,0,0,0,1,6,3,1
47,156,4,999,0,1.4,93.444,-36.1,4.968,5228.1,0,3294,0,2,6,0,2,0,0,1,2,1
33,328,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,2735,1,1,3,0,0,0,1,6,3,1
34,320,1,999,0,1.4,93.91799999999999,-42.7,4.96,5228.1,0,1703,1,1,1,0,2,0,0,3,1,1
58,570,2,999,0,1.4,94.465,-41.8,4.959,5228.1,1,2450,1,1,0,1,2,0,1,4,0,1
30,171,1,7,1,-1.7,94.055,-39.8,0.748,4991.6,0,464,9,1,6,0,0,0,0,4,0,2
31,159,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0,228,1,1,0,0,2,0,1,6,4,1
53,186,1,999,0,1.1,93.994,-36.4,4.856,5191.0,0,2419,4,1,6,1,2,0,1,6,3,1
36,166,1,999,0,1.1,93.994,-36.4,4.855,5191.0,0,2242,1,1,1,1,0,0,1,6,2,1
52,362,2,999,0,1.4,93.444,-36.1,4.966,5228.1,0,1790,1,1,0,0,2,0,0,1,0,1
58,64,1,999,1,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0,196,1,1,2,0,0,0,0,7,3,0
30,111,2,999,0,-1.1,94.76700000000001,-50.8,1.0490000000000002,4963.6,0,3415,1,2,5,0,2,0,0,7,3,1
42,163,1,999,0,-1.8,93.075,-47.1,1.406,5099.1,1,1818,9,1,3,0,2,0,0,0,2,1
32,370,1,999,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,2804,9,1,5,0,2,0,0,7,2,1
41,175,2,999,1,-1.8,92.89299999999999,-46.2,1.291,5099.1,0,2476,9,2,5,0,2,0,0,6,3,0
31,277,1,999,0,-2.9,92.963,-40.8,1.266,5076.2,0,4025,7,1,2,0,2,0,1,4,1,1
37,73,3,999,0,1.1,93.994,-36.4,4.86,5191.0,0,963,7,1,3,1,2,2,1,6,2,1
33,220,4,999,0,1.4,94.465,-41.8,4.961,5228.1,0,1692,9,1,5,0,0,0,1,4,1,1
42,71,1,999,0,1.4,93.444,-36.1,4.965,5228.1,0,3274,0,1,6,0,2,0,0,1,4,1
30,39,1,999,0,1.4,93.444,-36.1,4.97,5228.1,0,218,0,2,6,0,2,0,0,1,1,1
30,10,8,999,0,1.4,94.465,-41.8,4.959,5228.1,0,3255,1,2,2,1,0,0,1,4,0,1
33,113,1,999,0,1.4,94.465,-41.8,4.962,5228.1,0,1073,0,2,3,0,0,2,1,4,4,1
46,205,6,999,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,425,4,1,6,0,2,0,0,7,2,1
39,87,5,999,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0,2110,1,1,5,0,0,0,1,6,1,1
52,280,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,627,4,1,5,0,2,2,1,6,3,1
41,766,2,999,0,1.4,93.444,-36.1,4.968,5228.1,1,1657,0,1,6,0,0,0,0,1,3,1
43,221,2,999,0,-1.8,92.89299999999999,-46.2,1.244,5099.1,0,812,1,1,0,0,2,0,0,6,1,1
26,232,1,999,0,-1.8,92.89299999999999,-46.2,1.291,5099.1,0,2007,1,1,0,0,0,0,0,6,3,1
45,305,1,999,0,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,0,3741,4,1,2,1,2,0,0,6,1,1
47,2653,3,999,0,1.4,94.465,-41.8,4.967,5228.1,1,1393,0,0,6,0,2,0,1,4,0,1
40,300,5,999,0,1.4,93.91799999999999,-42.7,4.96,5228.1,0,91,10,2,3,0,2,0,0,3,1,1
41,442,11,999,0,1.4,94.465,-41.8,4.865,5228.1,0,193,9,1,5,1,2,0,1,4,1,1
43,37,1,999,0,1.4,94.465,-41.8,4.967,5228.1,0,3036,1,1,2,0,1,1,1,4,0,1
34,541,3,999,1,-1.8,92.89299999999999,-46.2,1.327,5099.1,0,921,7,2,3,0,2,0,0,6,2,0
45,134,8,999,0,1.4,94.465,-41.8,4.865,5228.1,0,1254,1,1,1,0,2,0,1,4,1,1
57,187,1,999,1,-2.9,92.20100000000001,-31.4,0.8340000000000001,5076.2,0,1270,5,1,6,0,2,0,0,1,4,0
54,149,2,999,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0,2395,9,1,5,0,2,0,0,7,3,1
38,35,6,999,0,1.4,93.444,-36.1,4.965,5228.1,0,172,0,1,6,0,2,0,0,1,3,1
44,728,1,999,0,-1.8,92.89299999999999,-46.2,1.334,5099.1,0,713,0,2,3,0,2,0,0,6,4,1
39,297,1,999,0,-1.8,93.075,-47.1,1.405,5099.1,0,845,0,2,3,0,0,0,0,0,0,1
34,1190,2,999,0,-1.8,92.89299999999999,-46.2,1.25,5099.1,1,3272,9,0,5,0,2,0,0,6,0,1
46,550,2,999,0,1.4,93.91799999999999,-42.7,4.963,5228.1,0,1123,3,1,0,1,0,0,0,3,0,1
35,66,1,999,1,-1.8,92.89299999999999,-46.2,1.327,5099.1,0,1473,7,2,3,0,2,0,0,6,2,0
48,67,7,999,0,-1.8,92.89299999999999,-46.2,1.266,5099.1,0,2364,7,0,2,0,1,1,0,6,2,1
77,160,1,3,6,-1.7,94.027,-38.3,0.905,4991.6,1,590,4,1,7,0,2,0,0,1,0,2
34,168,2,999,0,-1.7,94.027,-38.3,0.904,4991.6,0,2848,0,2,3,0,2,0,0,1,3,1
32,69,2,999,0,-3.4,92.37899999999999,-29.8,0.8190000000000001,5017.5,0,1674,0,2,6,0,2,2,0,9,3,1
33,341,1,999,0,-1.8,92.89299999999999,-46.2,1.291,5099.1,0,893,1,1,2,0,2,2,0,6,3,1
34,103,1,999,0,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,0,749,9,1,2,0,0,0,0,6,1,1
56,17,19,999,0,1.4,93.91799999999999,-42.7,4.96,5228.1,0,887,9,1,6,1,0,0,0,3,1,1
39,135,1,999,0,1.1,93.994,-36.4,4.855,5191.0,0,408,9,0,5,0,2,0,1,6,0,1
31,409,2,999,0,1.4,93.444,-36.1,4.965,5228.1,0,2061,9,1,5,0,2,0,0,1,4,1
24,332,1,999,1,-1.8,93.075,-47.1,1.405,5099.1,0,2388,9,0,5,0,0,0,0,0,0,0
49,1980,2,999,0,1.1,93.994,-36.4,4.864,5191.0,1,3267,1,1,1,0,2,0,1,6,0,1
26,77,3,999,0,-1.8,93.075,-47.1,1.41,5099.1,0,2607,1,1,2,0,2,0,0,0,2,1
38,47,5,999,0,1.1,93.994,-36.4,4.857,5191.0,0,3625,0,1,6,0,2,0,1,6,3,1
53,159,2,3,1,-2.9,92.20100000000001,-31.4,0.838,5076.2,0,3811,0,0,3,0,2,0,0,1,3,2
46,103,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,3472,4,1,6,0,0,0,1,6,1,1
34,38,1,999,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,0,1931,9,2,6,0,2,2,0,1,2,1
32,73,4,999,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,356,2,1,6,0,0,0,0,7,2,1
53,264,1,999,0,1.1,93.994,-36.4,4.864,5191.0,0,1441,9,1,5,1,2,0,1,6,0,1
54,698,1,999,0,-1.8,93.075,-47.1,1.405,5099.1,0,81,9,1,5,1,2,0,0,0,1,1
45,99,6,999,0,1.1,93.994,-36.4,4.857,5191.0,0,865,0,1,6,1,2,0,1,6,3,1
32,67,1,999,0,-1.8,92.89299999999999,-46.2,1.344,5099.1,0,786,9,1,3,0,2,0,0,6,3,1
30,338,1,999,0,1.4,94.465,-41.8,4.864,5228.1,0,2406,1,1,1,0,0,0,1,4,3,1
35,81,2,999,0,1.4,94.465,-41.8,4.959,5228.1,0,1416,1,2,1,0,0,0,1,4,0,1
44,390,2,999,0,1.4,93.444,-36.1,4.966,5228.1,0,2500,9,1,3,0,2,2,0,1,0,1
54,173,1,999,0,-1.8,92.89299999999999,-46.2,1.25,5099.1,0,1773,4,1,6,0,2,0,0,6,0,1
46,383,1,999,0,-1.1,94.76700000000001,-50.8,1.028,4963.6,0,171,1,1,5,0,0,0,0,7,0,1
37,394,3,999,0,1.4,94.465,-41.8,4.96,5228.1,0,1909,9,2,3,0,0,0,1,4,1,1
36,22,1,999,0,1.4,94.465,-41.8,4.8660000000000005,5228.1,0,3236,4,1,6,0,0,0,1,4,2,1
56,102,1,999,0,1.4,93.444,-36.1,4.967,5228.1,0,754,5,1,0,1,2,0,0,1,4,1
44,158,7,999,0,1.1,93.994,-36.4,4.857,5191.0,0,3290,0,2,6,0,2,0,1,6,1,1
26,223,2,999,0,1.4,94.465,-41.8,4.961,5228.1,0,2900,0,2,3,0,2,0,1,4,1,1
42,168,1,999,0,1.4,93.444,-36.1,4.963,5228.1,0,1417,0,1,6,0,2,0,0,1,0,1
38,61,1,999,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0,1574,4,1,6,0,0,0,0,7,3,1
34,29,1,999,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,1786,4,1,6,0,0,0,1,7,2,1
35,176,4,999,0,1.4,94.465,-41.8,4.959,5228.1,0,1373,4,0,3,0,2,0,1,4,0,1
37,609,2,7,3,-1.7,94.215,-40.3,0.782,4991.6,1,1273,0,2,3,0,0,0,0,3,2,2
28,525,1,999,0,1.4,94.465,-41.8,4.864,5228.1,0,36,1,2,2,0,2,0,1,4,4,1
33,274,2,12,2,-1.7,94.055,-39.8,0.767,4991.6,1,3814,7,1,3,0,2,0,0,4,4,2
41,263,1,999,0,-1.8,93.075,-47.1,1.466,5099.1,0,1247,10,1,2,0,2,0,0,0,1,1
39,145,2,999,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,0,1963,9,1,5,1,2,0,0,1,4,1
46,75,3,999,0,1.4,94.465,-41.8,4.961,5228.1,0,3542,7,1,5,0,0,0,1,4,3,1
27,72,1,999,0,-0.1,93.2,-42.0,4.245,5195.8,0,1278,8,2,5,0,0,0,1,7,2,1
52,600,1,999,0,-2.9,92.20100000000001,-31.4,0.884,5076.2,1,3482,4,1,6,0,0,0,0,1,3,1
25,234,1,999,0,1.4,93.91799999999999,-42.7,4.963,5228.1,0,2079,9,2,5,0,2,0,0,3,2,1
43,99,3,999,0,1.4,94.465,-41.8,4.961,5228.1,0,1678,9,0,5,0,2,0,1,4,1,1
29,225,1,999,0,1.4,93.444,-36.1,4.967,5228.1,0,3816,9,2,6,0,2,2,0,1,4,1
41,89,2,999,0,1.4,93.91799999999999,-42.7,4.959,5228.1,0,1151,2,1,0,0,2,0,1,3,0,1
44,10,1,999,0,-1.1,94.199,-37.5,0.884,4963.6,0,1349,1,1,1,0,2,0,1,9,2,1
48,27,17,999,0,1.4,93.91799999999999,-42.7,4.962,5228.1,0,1220,5,1,0,1,2,2,1,3,1,1
50,408,1,999,1,-0.1,93.2,-42.0,4.191,5195.8,0,3451,2,1,6,0,0,0,0,7,1,0
42,87,1,999,0,1.1,93.994,-36.4,4.864,5191.0,0,1389,0,2,6,0,2,0,1,6,0,1
43,114,1,999,0,1.4,94.465,-41.8,4.865,5228.1,0,1167,10,1,6,1,0,0,1,4,1,1
49,81,1,999,0,-3.4,92.431,-26.9,0.754,5017.5,0,67,9,0,7,0,2,2,0,8,2,1
44,259,1,999,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0,107,2,1,5,0,0,0,1,6,1,1
57,101,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,877,9,1,0,1,0,0,1,6,3,1
36,117,4,999,0,1.1,93.994,-36.4,4.859,5191.0,0,414,0,2,6,1,0,0,1,6,4,1
59,701,1,999,0,1.4,94.465,-41.8,4.8660000000000005,5228.1,1,502,11,1,7,1,0,0,1,4,2,1
31,225,2,999,0,1.4,93.91799999999999,-42.7,4.962,5228.1,0,2988,9,1,5,0,2,0,0,3,4,1
29,264,1,999,0,1.4,93.444,-36.1,4.963,5228.1,0,3973,4,2,6,0,0,2,0,1,3,1
34,244,1,999,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,0,1815,9,2,6,0,2,0,0,1,2,1
52,147,1,999,1,-0.1,93.2,-42.0,4.191,5195.8,0,3917,2,1,2,0,1,1,1,7,1,0
36,155,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0,423,9,1,5,0,1,1,1,6,3,1
32,258,1,999,0,1.4,93.91799999999999,-42.7,4.962,5228.1,0,1192,2,1,2,1,2,0,1,3,3,1
52,26,2,999,0,1.4,94.465,-41.8,4.961,5228.1,0,2574,5,0,0,1,2,2,1,4,2,1
55,56,1,999,1,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0,336,2,0,6,1,0,0,0,6,0,0
47,87,1,999,0,-0.1,93.2,-42.0,4.12,5195.8,0,1978,3,1,7,0,2,0,0,7,4,1
53,183,1,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,0,2603,0,2,7,1,0,0,0,3,3,1
27,98,1,999,1,-1.8,93.075,-47.1,1.445,5099.1,0,1470,0,2,6,0,2,2,0,0,4,0
57,473,1,3,5,-1.1,94.199,-37.5,0.877,4963.6,1,2019,0,0,3,0,0,0,0,9,3,2
30,142,2,999,0,1.4,93.444,-36.1,4.963,5228.1,0,1727,0,1,6,1,2,0,0,1,1,1
40,201,2,999,0,1.1,93.994,-36.4,4.855,5191.0,0,3641,1,2,1,1,0,0,1,6,2,1
54,65,6,999,0,1.4,93.444,-36.1,4.963,5228.1,0,1312,1,1,0,1,0,0,0,1,2,1
35,192,2,999,1,-3.4,92.649,-30.1,0.7140000000000001,5017.5,1,2324,9,2,5,0,2,0,0,7,2,0
49,290,1,999,0,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,0,1936,1,1,2,1,0,2,0,6,1,1
34,114,2,999,0,1.4,93.91799999999999,-42.7,4.968,5228.1,0,2039,9,1,6,0,0,2,0,3,2,1
50,287,1,999,0,-1.8,92.89299999999999,-46.2,1.266,5099.1,0,1165,6,1,2,1,0,0,0,6,2,1
36,30,3,999,0,1.4,94.465,-41.8,4.961,5228.1,0,3201,1,1,2,0,1,1,1,4,3,1
51,50,3,999,0,1.4,93.444,-36.1,4.966,5228.1,0,3761,9,0,5,0,0,2,0,1,0,1
28,651,5,999,0,1.4,94.465,-41.8,4.958,5228.1,1,1242,4,2,6,0,0,0,1,4,2,1
57,48,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,1330,11,1,7,1,2,0,1,6,1,1
44,194,3,999,0,1.1,93.994,-36.4,4.859,5191.0,0,2069,1,1,1,1,2,0,1,6,0,1
30,53,6,999,0,1.4,93.91799999999999,-42.7,4.959,5228.1,0,758,0,1,3,0,2,0,0,3,0,1
50,74,1,999,0,1.1,93.994,-36.4,4.859,5191.0,0,545,1,1,0,1,2,0,1,6,0,1
74,88,6,999,0,-3.0,92.713,-33.0,0.715,5023.5,0,2768,5,0,3,0,2,2,1,2,1,1
40,155,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,306,1,1,7,0,2,2,1,6,1,1
32,315,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0,3306,0,0,6,0,0,0,1,6,4,1
37,201,1,999,0,-1.8,93.075,-47.1,1.406,5099.1,0,3248,9,2,3,0,2,0,1,0,2,1
48,725,1,999,0,-1.8,92.89299999999999,-46.2,1.291,5099.1,1,2083,4,1,2,0,2,0,0,6,3,1
60,202,6,999,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0,2237,9,0,5,1,2,0,1,6,4,1
45,829,1,999,0,-1.8,92.84299999999999,-50.0,1.51,5099.1,0,3122,1,1,2,0,2,0,0,5,3,1
42,353,1,999,0,1.4,93.444,-36.1,4.966,5228.1,0,2962,0,2,6,0,0,0,0,1,0,1
29,20,1,999,0,-1.8,92.89299999999999,-46.2,1.266,5099.1,0,1125,9,2,2,0,0,0,0,6,2,1
56,360,1,999,0,1.4,93.444,-36.1,4.968,5228.1,0,707,1,1,0,1,0,2,0,1,2,1
35,146,3,999,0,1.4,93.444,-36.1,4.968,5228.1,0,1754,0,1,6,0,2,0,0,1,3,1
31,124,3,999,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,0,2221,10,1,6,0,0,0,0,1,4,1
57,187,1,999,0,1.4,94.465,-41.8,4.961,5228.1,0,2520,9,0,6,0,0,2,1,4,3,1
61,403,1,3,2,-1.8,93.876,-40.0,0.695,5008.7,1,426,1,1,1,0,2,2,0,6,0,2
34,50,1,999,0,-1.8,92.89299999999999,-46.2,1.334,5099.1,0,1665,1,1,2,0,0,2,0,6,4,1
59,646,3,6,1,-3.0,92.713,-33.0,0.7,5023.5,0,2295,4,1,6,0,2,0,0,2,2,2
25,101,1,999,0,-1.8,92.89299999999999,-46.2,1.334,5099.1,0,923,0,2,6,0,0,0,0,6,4,1
45,187,1,999,0,1.4,93.444,-36.1,4.965,5228.1,0,349,1,1,0,1,2,2,0,1,1,1
63,83,4,999,0,-3.0,92.713,-33.0,0.706,5023.5,0,3718,5,1,5,0,0,0,0,2,1,1
48,158,2,999,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0,2970,7,0,3,1,2,2,1,6,1,1
73,179,1,999,0,-1.8,92.84299999999999,-50.0,1.531,5099.1,1,451,5,1,6,0,2,0,0,5,0,1
42,665,1,999,0,-1.8,92.89299999999999,-46.2,1.25,5099.1,0,2445,6,1,5,1,1,1,0,6,0,1
56,476,2,999,0,1.4,93.444,-36.1,4.965,5228.1,0,4030,0,1,7,0,2,0,0,1,1,1
27,136,5,999,1,-1.8,92.89299999999999,-46.2,1.266,5099.1,0,3021,1,1,3,0,0,0,0,6,2,0
50,153,3,999,0,1.1,93.994,-36.4,4.856,5191.0,0,897,6,1,0,1,1,1,1,6,4,1
41,88,3,999,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,0,3406,9,2,3,0,2,0,0,1,4,1
26,389,1,999,0,1.1,93.994,-36.4,4.859,5191.0,0,499,1,1,1,0,0,0,1,6,4,1
46,165,3,999,0,1.4,93.91799999999999,-42.7,4.968,5228.1,0,1553,9,0,5,0,2,0,0,3,2,1
26,124,1,999,0,1.4,93.91799999999999,-42.7,4.962,5228.1,0,2471,4,2,6,1,2,0,0,3,4,1
25,420,2,999,0,1.4,93.91799999999999,-42.7,4.958,5228.1,0,1484,1,1,0,0,0,0,0,3,2,1
51,280,2,999,1,-2.9,92.963,-40.8,1.26,5076.2,1,1001,10,1,1,0,0,0,0,4,2,0
46,124,4,999,0,-1.8,93.075,-47.1,1.405,5099.1,0,3900,7,1,3,0,0,0,0,0,1,1
38,145,3,999,0,-0.1,93.2,-42.0,4.12,5195.8,0,2274,1,1,2,1,0,0,0,7,4,1
26,127,1,999,0,1.4,93.91799999999999,-42.7,4.963,5228.1,0,286,3,2,3,1,2,2,1,3,2,1
39,617,2,999,0,1.4,93.91799999999999,-42.7,4.96,5228.1,1,2709,9,2,5,0,0,0,0,3,1,1
55,96,6,999,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,0,3842,0,1,6,1,0,0,0,1,4,1
34,64,4,999,0,1.4,93.91799999999999,-42.7,4.963,5228.1,0,873,9,1,5,1,2,0,0,3,4,1
53,81,1,999,0,1.4,93.444,-36.1,4.963,5228.1,0,3644,4,1,6,0,2,2,1,1,0,1
28,262,1,999,0,1.1,93.994,-36.4,4.855,5191.0,0,290,1,1,1,1,0,0,1,6,2,1
55,604,1,999,0,-1.8,92.89299999999999,-46.2,1.344,5099.1,0,2104,6,1,2,0,2,0,0,6,3,1
52,139,2,6,1,-1.7,94.215,-40.3,0.893,4991.6,0,2604,0,1,5,0,2,2,0,3,3,2
43,339,3,999,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0,880,1,2,0,1,0,0,1,6,4,1
40,107,4,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,0,535,1,1,2,0,2,0,0,3,3,1
53,140,2,999,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0,3506,0,1,5,0,2,2,0,7,3,1
44,112,1,999,0,1.4,94.465,-41.8,4.958,5228.1,0,3810,9,0,5,0,0,0,1,4,2,1
43,173,1,999,0,1.4,94.465,-41.8,4.962,5228.1,0,1724,1,1,0,1,2,0,1,4,4,1
54,725,4,999,0,1.4,93.444,-36.1,4.963,5228.1,0,3692,4,1,3,0,0,0,0,1,1,1
24,132,1,999,0,1.4,94.465,-41.8,4.864,5228.1,0,1671,8,2,3,0,0,0,1,4,4,1
35,224,3,999,0,-2.9,92.20100000000001,-31.4,0.8690000000000001,5076.2,0,2475,9,1,6,0,0,0,0,1,0,1
48,227,1,999,0,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,0,3877,0,0,0,0,2,0,0,6,1,1
31,704,4,999,0,1.4,94.465,-41.8,4.962,5228.1,1,2744,1,1,2,0,2,0,1,4,4,1
